sample_id,exercise_type,form_quality,form_score,num_frames,risk_factors,recommendations,hip_angle_mean,hip_angle_std,knee_angle_mean,knee_angle_std,ankle_angle_mean,ankle_angle_std,back_angle_mean,back_angle_std,shoulder_angle_mean,shoulder_angle_std,landmarks_file,labels_file,elbow_angle_mean,elbow_angle_std,wrist_angle_mean,wrist_angle_std,hip_angle_front_mean,hip_angle_front_std,knee_angle_front_mean,knee_angle_front_std,hip_angle_back_mean,hip_angle_back_std,knee_angle_back_mean,knee_angle_back_std
0,squat,excellent,96.14704982686999,30,,,132.96110294817134,36.590658257880115,132.2571125251926,37.139457551706165,79.22956130319754,9.170285411271282,0.5086564428186121,2.1379036626360834,44.74617605804347,1.7406235039790512,datasets/biomechanics/annotations/sample_000000.npy,datasets/biomechanics/annotations/sample_000000.json,,,,,,,,,,,,
1,squat,excellent,98.42689860867193,30,,,132.89787065273407,37.02572567755548,132.78270046209502,37.02146185093984,79.82590613462204,8.016102804235027,-0.09582578778611764,1.8115993881504378,45.37424895533881,2.2067600292729965,datasets/biomechanics/annotations/sample_000001.npy,datasets/biomechanics/annotations/sample_000001.json,,,,,,,,,,,,
2,squat,excellent,99.2683341678965,30,,,132.94331886807643,37.00768437725987,133.15902421826462,37.85095062614699,79.46423759981205,7.84481832428554,-0.043209654569933156,1.838992328907176,45.04614843137109,2.0830221081299953,datasets/biomechanics/annotations/sample_000002.npy,datasets/biomechanics/annotations/sample_000002.json,,,,,,,,,,,,
3,squat,excellent,98.12591109329773,30,,,132.10789801286631,36.95387193600658,132.3590006090355,36.95752317357103,80.31504128220031,8.399523461390405,-0.7709357569608445,1.9270380358207366,45.10311313997719,2.0557585993099954,datasets/biomechanics/annotations/sample_000003.npy,datasets/biomechanics/annotations/sample_000003.json,,,,,,,,,,,,
4,squat,excellent,95.08832966793837,30,,,132.6201272665923,36.5807137386178,132.48659443093115,36.430357257830444,79.69025727963252,8.565352522536378,0.5034158697269017,2.168895580978722,44.89745010134524,1.9689998610535329,datasets/biomechanics/annotations/sample_000004.npy,datasets/biomechanics/annotations/sample_000004.json,,,,,,,,,,,,
5,squat,excellent,99.68651426374633,30,,,132.85399267217574,37.39292972447676,132.35187702116892,36.885458632385685,79.23592311397043,8.772212865522965,-0.05904787585611171,2.1143966305825916,44.94400104020259,1.9367450219403148,datasets/biomechanics/annotations/sample_000005.npy,datasets/biomechanics/annotations/sample_000005.json,,,,,,,,,,,,
6,squat,excellent,93.94392104846108,30,,,132.14771497912815,36.80720548512141,132.06099711620834,37.791774347130335,79.77003974046839,7.875569993195101,-0.3009231022824774,2.0134132604781456,44.598362567114755,2.0273863601604143,datasets/biomechanics/annotations/sample_000006.npy,datasets/biomechanics/annotations/sample_000006.json,,,,,,,,,,,,
7,squat,excellent,99.6561314931903,30,,,132.07696285237606,37.30940820588915,132.59153441129925,37.294099854706154,79.22005610738616,8.139916434433877,-0.2464172881172636,2.1375920200991754,45.662112653413935,1.7249867722171968,datasets/biomechanics/annotations/sample_000007.npy,datasets/biomechanics/annotations/sample_000007.json,,,,,,,,,,,,
8,squat,excellent,90.15908186221864,30,,,132.50838873210418,37.18489557299435,132.53321051280878,36.55092208696199,79.29759886550268,7.699594574974768,0.17112203314173366,1.8516401045343704,45.84734235788882,2.179568874790313,datasets/biomechanics/annotations/sample_000008.npy,datasets/biomechanics/annotations/sample_000008.json,,,,,,,,,,,,
9,squat,excellent,90.81053091051895,30,,,132.46736359954076,36.996047360209566,131.8497666956401,37.2058921205498,79.09057088379859,8.802030954605833,0.47045307820079774,2.2495411194095003,45.04732533063051,2.025507378367178,datasets/biomechanics/annotations/sample_000009.npy,datasets/biomechanics/annotations/sample_000009.json,,,,,,,,,,,,
10,squat,excellent,96.5807883111577,30,,,131.77138396420045,36.97890149796814,132.57883364300625,36.55565021248212,79.372193426605,8.35232350587235,0.567347146030243,2.0785095357709005,44.45587385241012,1.734003925742609,datasets/biomechanics/annotations/sample_000010.npy,datasets/biomechanics/annotations/sample_000010.json,,,,,,,,,,,,
11,squat,excellent,99.51610555335631,30,,,132.71849216058393,37.6129895835541,132.30791369878494,37.04842284515742,79.18986665758864,9.159318798199227,0.3573951271248993,2.322165618678479,45.179578277847355,2.400943618937622,datasets/biomechanics/annotations/sample_000011.npy,datasets/biomechanics/annotations/sample_000011.json,,,,,,,,,,,,
12,squat,excellent,99.70208959504959,30,,,131.35345814990544,36.897677465432444,132.72240809995327,37.18971813019058,79.07568579496392,8.330497787942534,0.2199701750176216,1.9649425565380894,45.872153322690714,1.8569630790793448,datasets/biomechanics/annotations/sample_000012.npy,datasets/biomechanics/annotations/sample_000012.json,,,,,,,,,,,,
13,squat,excellent,98.00125055479107,30,,,132.1180780314823,36.8852425083377,131.86101293965572,36.78221685590057,79.93310308320108,8.354731234627772,-0.029314871024268337,2.255152701414525,44.92205638913363,1.8249519160356635,datasets/biomechanics/annotations/sample_000013.npy,datasets/biomechanics/annotations/sample_000013.json,,,,,,,,,,,,
14,squat,excellent,96.76415534387299,30,,,131.778950382161,37.50010631956905,132.12592803543365,36.861567576959885,79.38882440074482,8.382782676960826,0.16631799453155832,2.291698921788531,45.38315706996817,2.0201699406033,datasets/biomechanics/annotations/sample_000014.npy,datasets/biomechanics/annotations/sample_000014.json,,,,,,,,,,,,
15,squat,excellent,94.72281716092482,30,,,131.76869570691562,37.91787308836383,132.21271105573155,36.71210073320262,79.56611006647692,8.213290960773058,0.536461405192134,2.4251334272617355,45.12913679966206,1.7370764276329391,datasets/biomechanics/annotations/sample_000015.npy,datasets/biomechanics/annotations/sample_000015.json,,,,,,,,,,,,
16,squat,excellent,95.0836469317273,30,,,132.29060779073328,37.70008081497159,133.0105772303318,37.208658556840746,79.54611832430626,8.09416742393504,-0.2283367035079995,2.0110724307854295,44.93876062087447,1.8344458461741238,datasets/biomechanics/annotations/sample_000016.npy,datasets/biomechanics/annotations/sample_000016.json,,,,,,,,,,,,
17,squat,excellent,99.05865895778356,30,,,132.42124172802747,36.93718995307906,132.3315723832192,37.39187657823897,79.52177962488648,8.685078148937603,-0.1716034595318177,2.0188487527291943,44.5154076112966,2.5949499205125868,datasets/biomechanics/annotations/sample_000017.npy,datasets/biomechanics/annotations/sample_000017.json,,,,,,,,,,,,
18,squat,excellent,95.9335268980249,30,,,132.46567431010644,37.16210860112302,132.6146861179671,36.82040322071396,79.2706454313134,7.964845535972943,0.144890693029637,1.9232701980184443,45.07551026684541,1.6830622431303597,datasets/biomechanics/annotations/sample_000018.npy,datasets/biomechanics/annotations/sample_000018.json,,,,,,,,,,,,
19,squat,excellent,93.86850061730675,30,,,132.9947447779117,36.93653219675613,132.86222113666034,37.65913504788366,78.97733154994422,8.137600951884277,0.36231618631987295,1.9173322298011648,44.59063436847929,2.149017735600593,datasets/biomechanics/annotations/sample_000019.npy,datasets/biomechanics/annotations/sample_000019.json,,,,,,,,,,,,
20,squat,excellent,90.51333887483354,30,,,132.38931524803166,36.89269026813166,132.21775279533088,36.45905047438563,79.93924855756237,8.781478318783348,0.07525334039085622,1.5192227099346167,45.06102058170629,2.375795537248408,datasets/biomechanics/annotations/sample_000020.npy,datasets/biomechanics/annotations/sample_000020.json,,,,,,,,,,,,
